Conf #;City;State/Province (US & Canada);Country;Unnamed: 4;Tonnes of CO2
59458961;Tirana;;Albania;Montreal;
61364636;CABA;;Argentina;;
60591635;Manuel B. Gonnet;;Argentina;;
60122386;Mar del Plata;;Argentina;;
59685374;Adelaide;;Australia;;
59602567;Adelaide;;Australia;;
59531752;Adelaide;;Australia;;
59479436;Adelaide;;Australia;;
59381711;Adelaide;;Australia;;
59457752;Ashwood;;Australia;;
60702447;Brisbane;;Australia;;
60212865;Brisbane;;Australia;;
59324268;Brisbane;;Australia;;
59598970;Broadway / Sidney;;Australia;;
60120880;Bundaberg;;Australia;;
59534607;Burwood/Sidney;;Australia;;
59627127;CASUARINA;;Australia;;
60145595;Clayton/Melbourne;;Australia;;
59398720;Clayton South;;Australia;;
60667941;Collingwood;;Australia;;
59510371;Coogee;;Australia;;
59599217;East Melbourne;;Australia;;
59708066;FRESHWATER/ Sidney;;Australia;;
59425605;Glenelg South/ Adelaide;;Australia;;
59603224;Greenwich/ Sidney;;Australia;;
59535451;Herston;;Australia;;
59535424;Herston;;Australia;;
59535397;Herston;;Australia;;
59535293;Herston;;Australia;;
59084838;Hobart;;Australia;;
61131205;Ivanhoe/MELBORNE;;Australia;;
59602235;Katoomba/ Sidney;;Australia;;
59603619;LEWISHAM/Sidney;;Australia;;
59604342;Lismore;;Australia;;
59382677;Melbourne;;Australia;;
59354864;Melbourne;;Australia;;
59573149;Mildura;;Australia;;
60280465;MILTON/ brisbane;;Australia;;
58865856;Milton;;Australia;;
59889355;Nhill/ Melborne;;Australia;;
59460197;Nhill;;Australia;;
59594154;Perth;;Australia;;
59479610;Perth;;Australia;;
60191268;Petersham;;Australia;;
59399017;Petersham Sidney;;Australia;;
59290640;Picton sidney;;Australia;;
59573645;Sippy Downs;;Australia;;
58845838;Sippy Downs, Queensland;;Australia;;
58754928;Southport;;Australia;;
60187273;St Kilda/Mel;;Australia;;
60861621;Subiaco, WA;;Australia;;
60861560;Subiaco, WA;;Australia;;
61298452;Sydney;;Australia;;
60704684;Sydney;;Australia;;
60210655;Sydney;;Australia;;
